Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
MergeSort,0,6,2230368
MergeSort,1,3,2428064
MergeSort,2,2,2449752
MergeSort,3,2,2433224
MergeSort,4,2,2455352
MergeSort,5,2,2466056
MergeSort,6,1,2437752
MergeSort,7,2,2437464
MergeSort,8,2,2445952
MergeSort,9,2,2442464
MergeSort,10,2,2443288
MergeSort,11,2,2436136
MergeSort,12,2,2442128
MergeSort,13,4,2528064
MergeSort,14,2,2437992
MergeSort,15,1,2461296
MergeSort,16,3,2441992
MergeSort,17,3,2461296
MergeSort,18,2,2448488
MergeSort,19,2,2446200
MergeSort,20,3,2460616
MergeSort,21,2,2447312
MergeSort,22,2,2460976
MergeSort,23,2,2447312
MergeSort,24,3,2460976
MergeSort,25,2,2447312
MergeSort,26,1,2460976
MergeSort,27,1,2447312
MergeSort,28,2,2460976
MergeSort,29,1,2447312
MergeSort,30,1,2460976
MergeSort,31,1,2447312
MergeSort,32,1,2460976
MergeSort,33,1,2447312
MergeSort,34,1,2460976
MergeSort,35,1,2447312
MergeSort,36,1,2460976
MergeSort,37,1,2447312
MergeSort,38,1,2460976
MergeSort,39,1,2447312
MergeSort,40,1,2460976
MergeSort,41,2,2447312
MergeSort,42,1,2460976
MergeSort,43,1,2447312
MergeSort,44,1,2460976
MergeSort,45,1,2447312
MergeSort,46,2,2460976
MergeSort,47,1,2447312
MergeSort,48,1,2460976
MergeSort,49,2,2447312
MergeSort,50,1,2460976
MergeSort,51,1,2447312
MergeSort,52,1,2460976
MergeSort,53,1,2447312
MergeSort,54,1,2460976
MergeSort,55,1,2447312
MergeSort,56,1,2460976
MergeSort,57,1,2447312
MergeSort,58,1,2460976
MergeSort,59,1,2447312
MergeSort,60,1,2460976
MergeSort,61,1,2447312
MergeSort,62,1,2460976
MergeSort,63,2,2447312
MergeSort,64,2,2460976
MergeSort,65,1,2447312
MergeSort,66,1,2460976
MergeSort,67,2,2447312
MergeSort,68,1,2460976
MergeSort,69,1,2447312
MergeSort,70,1,2460976
MergeSort,71,1,2447312
MergeSort,72,1,2460976
MergeSort,73,1,2447312
MergeSort,74,1,2460976
MergeSort,75,1,2447312
MergeSort,76,1,2460976
MergeSort,77,1,2447312
MergeSort,78,1,2460976
MergeSort,79,1,2447312
MergeSort,80,2,2460976
MergeSort,81,1,2447312
MergeSort,82,2,2460976
MergeSort,83,1,2447312
MergeSort,84,1,2460976
MergeSort,85,1,2447312
MergeSort,86,1,2460976
MergeSort,87,1,2447312
MergeSort,88,1,2460976
MergeSort,89,1,2447312
MergeSort,90,1,2460976
MergeSort,91,1,2447312
MergeSort,92,1,2460976
MergeSort,93,1,2447312
MergeSort,94,1,2460976
MergeSort,95,1,2447312
MergeSort,96,1,2460976
MergeSort,97,2,2447312
MergeSort,98,1,2460976
MergeSort,99,2,2447312
MergeSort,100,1,2460976
MergeSort,101,1,2447312
MergeSort,102,1,2460976
MergeSort,103,1,2447312
MergeSort,104,1,2460976
MergeSort,105,1,2447312
MergeSort,106,1,2460976
MergeSort,107,1,2447312
MergeSort,108,1,2460976
