Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
BubbleSort,0,853,5288
BubbleSort,1,837,0
BubbleSort,2,631,0
BubbleSort,3,632,0
BubbleSort,4,628,0
BubbleSort,5,627,0
BubbleSort,6,636,0
BubbleSort,7,631,0
BubbleSort,8,620,0
BubbleSort,9,622,0
BubbleSort,10,630,0
BubbleSort,11,626,0
BubbleSort,12,621,0
BubbleSort,13,637,0
BubbleSort,14,627,0
BubbleSort,15,624,0
BubbleSort,16,626,0
BubbleSort,17,634,0
BubbleSort,18,624,0
BubbleSort,19,622,0
BubbleSort,20,637,0
BubbleSort,21,626,0
BubbleSort,22,619,0
BubbleSort,23,628,0
BubbleSort,24,625,0
BubbleSort,25,623,0
BubbleSort,26,626,0
BubbleSort,27,632,0
BubbleSort,28,622,0
BubbleSort,29,619,0
BubbleSort,30,655,0
BubbleSort,31,631,0
BubbleSort,32,647,0
BubbleSort,33,640,0
BubbleSort,34,640,0
BubbleSort,35,629,0
BubbleSort,36,658,0
BubbleSort,37,653,0
BubbleSort,38,628,0
BubbleSort,39,625,0
BubbleSort,40,632,0
BubbleSort,41,624,0
BubbleSort,42,623,0
BubbleSort,43,631,0
BubbleSort,44,627,0
BubbleSort,45,626,0
BubbleSort,46,623,0
BubbleSort,47,630,0
BubbleSort,48,625,0
BubbleSort,49,624,0
BubbleSort,50,630,0
BubbleSort,51,626,0
BubbleSort,52,622,0
BubbleSort,53,621,0
BubbleSort,54,629,0
BubbleSort,55,621,0
BubbleSort,56,621,0
BubbleSort,57,632,0
BubbleSort,58,624,0
BubbleSort,59,624,0
BubbleSort,60,627,0
BubbleSort,61,624,0
BubbleSort,62,624,0
BubbleSort,63,621,0
BubbleSort,64,630,0
BubbleSort,65,645,0
BubbleSort,66,627,0
BubbleSort,67,628,0
BubbleSort,68,633,0
BubbleSort,69,624,0
BubbleSort,70,631,0
BubbleSort,71,627,0
BubbleSort,72,623,0
BubbleSort,73,637,0
BubbleSort,74,630,0
BubbleSort,75,623,0
BubbleSort,76,622,0
BubbleSort,77,630,0
BubbleSort,78,621,0
BubbleSort,79,626,0
BubbleSort,80,624,0
BubbleSort,81,631,0
BubbleSort,82,624,0
BubbleSort,83,623,0
BubbleSort,84,633,0
BubbleSort,85,627,0
BubbleSort,86,623,0
BubbleSort,87,630,0
BubbleSort,88,622,0
BubbleSort,89,624,0
BubbleSort,90,624,0
BubbleSort,91,632,0
BubbleSort,92,621,0
BubbleSort,93,625,0
BubbleSort,94,634,0
BubbleSort,95,616,0
BubbleSort,96,626,0
BubbleSort,97,628,0
BubbleSort,98,629,0
BubbleSort,99,622,0
