Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
BubbleSort,0,26,5288
BubbleSort,1,21,0
BubbleSort,2,17,0
BubbleSort,3,21,0
BubbleSort,4,21,0
BubbleSort,5,22,0
BubbleSort,6,22,0
BubbleSort,7,22,0
BubbleSort,8,21,0
BubbleSort,9,17,0
BubbleSort,10,17,0
BubbleSort,11,17,0
BubbleSort,12,17,0
BubbleSort,13,17,0
BubbleSort,14,18,0
BubbleSort,15,18,0
BubbleSort,16,18,0
BubbleSort,17,17,0
BubbleSort,18,18,0
BubbleSort,19,17,0
BubbleSort,20,18,0
BubbleSort,21,17,0
BubbleSort,22,18,0
BubbleSort,23,19,0
BubbleSort,24,18,0
BubbleSort,25,18,0
BubbleSort,26,17,0
BubbleSort,27,18,0
BubbleSort,28,17,0
BubbleSort,29,18,0
BubbleSort,30,18,0
BubbleSort,31,18,0
BubbleSort,32,17,0
BubbleSort,33,17,0
BubbleSort,34,18,0
BubbleSort,35,18,0
BubbleSort,36,18,0
BubbleSort,37,18,0
BubbleSort,38,18,0
BubbleSort,39,18,0
BubbleSort,40,18,0
BubbleSort,41,17,0
BubbleSort,42,17,0
BubbleSort,43,17,0
BubbleSort,44,17,0
BubbleSort,45,17,0
BubbleSort,46,17,0
BubbleSort,47,18,0
BubbleSort,48,17,0
BubbleSort,49,18,0
BubbleSort,50,17,0
BubbleSort,51,18,0
BubbleSort,52,17,0
BubbleSort,53,18,0
BubbleSort,54,18,0
BubbleSort,55,17,0
BubbleSort,56,20,0
BubbleSort,57,17,0
BubbleSort,58,17,0
BubbleSort,59,17,0
BubbleSort,60,17,0
BubbleSort,61,18,0
BubbleSort,62,17,0
BubbleSort,63,18,0
BubbleSort,64,17,0
BubbleSort,65,18,0
BubbleSort,66,18,0
BubbleSort,67,22,0
BubbleSort,68,17,0
BubbleSort,69,17,0
BubbleSort,70,18,0
BubbleSort,71,17,0
BubbleSort,72,18,0
BubbleSort,73,18,0
BubbleSort,74,18,0
BubbleSort,75,17,0
BubbleSort,76,17,0
BubbleSort,77,17,0
BubbleSort,78,18,0
BubbleSort,79,18,0
BubbleSort,80,17,0
BubbleSort,81,17,0
BubbleSort,82,19,0
BubbleSort,83,19,0
BubbleSort,84,19,0
BubbleSort,85,19,0
BubbleSort,86,18,0
BubbleSort,87,17,0
BubbleSort,88,20,0
BubbleSort,89,17,0
BubbleSort,90,17,0
BubbleSort,91,17,0
BubbleSort,92,18,0
BubbleSort,93,18,0
BubbleSort,94,19,0
BubbleSort,95,17,0
BubbleSort,96,18,0
BubbleSort,97,17,0
BubbleSort,98,17,0
BubbleSort,99,19,0
BubbleSort,100,17,0
BubbleSort,101,17,0
BubbleSort,102,17,0
BubbleSort,103,18,0
BubbleSort,104,18,0
BubbleSort,105,18,0
BubbleSort,106,18,0
BubbleSort,107,17,0
BubbleSort,108,17,0
