Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
QuickSort,0,11,44200
QuickSort,1,5,0
QuickSort,2,5,0
QuickSort,3,5,0
QuickSort,4,5,0
QuickSort,5,5,0
QuickSort,6,5,0
QuickSort,7,5,0
QuickSort,8,5,0
QuickSort,9,5,0
QuickSort,10,5,0
QuickSort,11,5,0
QuickSort,12,5,0
QuickSort,13,6,0
QuickSort,14,5,0
QuickSort,15,5,0
QuickSort,16,5,0
QuickSort,17,5,0
QuickSort,18,5,0
QuickSort,19,5,0
QuickSort,20,5,0
QuickSort,21,5,0
QuickSort,22,5,0
QuickSort,23,5,0
QuickSort,24,5,0
QuickSort,25,5,0
QuickSort,26,5,0
QuickSort,27,5,0
QuickSort,28,5,0
QuickSort,29,5,0
QuickSort,30,5,0
QuickSort,31,5,0
QuickSort,32,5,0
QuickSort,33,5,0
QuickSort,34,5,0
QuickSort,35,5,0
QuickSort,36,5,0
QuickSort,37,5,0
QuickSort,38,5,0
QuickSort,39,6,0
QuickSort,40,5,0
QuickSort,41,5,0
QuickSort,42,5,0
QuickSort,43,5,0
QuickSort,44,5,0
QuickSort,45,5,0
QuickSort,46,5,0
QuickSort,47,5,0
QuickSort,48,5,0
QuickSort,49,5,0
QuickSort,50,5,0
QuickSort,51,5,0
QuickSort,52,5,0
QuickSort,53,5,0
QuickSort,54,5,0
QuickSort,55,5,0
QuickSort,56,5,0
QuickSort,57,5,0
QuickSort,58,5,0
QuickSort,59,5,0
QuickSort,60,5,0
QuickSort,61,5,0
QuickSort,62,5,0
QuickSort,63,5,0
QuickSort,64,5,0
QuickSort,65,5,0
QuickSort,66,5,0
QuickSort,67,6,0
QuickSort,68,5,0
QuickSort,69,5,0
QuickSort,70,5,0
QuickSort,71,5,0
QuickSort,72,5,0
QuickSort,73,5,0
QuickSort,74,5,0
QuickSort,75,5,0
QuickSort,76,5,0
QuickSort,77,5,0
QuickSort,78,5,0
QuickSort,79,5,0
QuickSort,80,5,0
QuickSort,81,5,0
QuickSort,82,5,0
QuickSort,83,5,0
QuickSort,84,5,0
QuickSort,85,5,0
QuickSort,86,6,0
QuickSort,87,5,0
QuickSort,88,5,0
QuickSort,89,5,0
QuickSort,90,5,0
QuickSort,91,5,0
QuickSort,92,5,0
QuickSort,93,5,0
QuickSort,94,5,0
QuickSort,95,5,0
QuickSort,96,5,0
QuickSort,97,5,0
QuickSort,98,5,0
QuickSort,99,6,0
QuickSort,100,5,0
QuickSort,101,5,0
QuickSort,102,5,0
QuickSort,103,5,0
QuickSort,104,5,0
QuickSort,105,5,0
QuickSort,106,5,0
QuickSort,107,5,0
QuickSort,108,5,0
QuickSort,109,5,0
QuickSort,110,5,0
QuickSort,111,5,0
QuickSort,112,5,0
QuickSort,113,5,0
QuickSort,114,5,0
QuickSort,115,5,0
QuickSort,116,5,0
QuickSort,117,5,0
QuickSort,118,5,0
QuickSort,119,5,0
QuickSort,120,5,0
QuickSort,121,5,0
QuickSort,122,5,0
QuickSort,123,5,0
QuickSort,124,5,0
QuickSort,125,5,0
QuickSort,126,5,0
QuickSort,127,5,0
QuickSort,128,5,0
QuickSort,129,5,0
QuickSort,130,6,0
QuickSort,131,5,0
QuickSort,132,5,0
