Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
BubbleSort,0,3554,5288
BubbleSort,1,3562,0
BubbleSort,2,2596,0
BubbleSort,3,2610,0
BubbleSort,4,2588,0
BubbleSort,5,2607,0
BubbleSort,6,2596,0
BubbleSort,7,2597,0
BubbleSort,8,2602,0
BubbleSort,9,2600,0
BubbleSort,10,2586,0
BubbleSort,11,2593,0
BubbleSort,12,2594,0
BubbleSort,13,2586,0
BubbleSort,14,2589,0
BubbleSort,15,2602,0
BubbleSort,16,2593,0
BubbleSort,17,2595,0
BubbleSort,18,2596,0
BubbleSort,19,2603,0
BubbleSort,20,2598,0
BubbleSort,21,2679,0
BubbleSort,22,2638,0
BubbleSort,23,2604,0
BubbleSort,24,2585,0
BubbleSort,25,2589,0
BubbleSort,26,2594,0
BubbleSort,27,2587,0
BubbleSort,28,2589,0
BubbleSort,29,2585,0
BubbleSort,30,2590,0
BubbleSort,31,2603,0
BubbleSort,32,2592,0
BubbleSort,33,2583,0
BubbleSort,34,2598,0
BubbleSort,35,2595,0
BubbleSort,36,2601,0
BubbleSort,37,2595,0
BubbleSort,38,2607,0
BubbleSort,39,2597,0
BubbleSort,40,2594,0
BubbleSort,41,2593,0
BubbleSort,42,2594,0
BubbleSort,43,2602,0
BubbleSort,44,2630,0
BubbleSort,45,2615,0
BubbleSort,46,2671,0
BubbleSort,47,2642,0
BubbleSort,48,2611,0
BubbleSort,49,2594,0
BubbleSort,50,2593,0
BubbleSort,51,2615,0
BubbleSort,52,2601,0
BubbleSort,53,2592,0
BubbleSort,54,2588,0
BubbleSort,55,2588,0
BubbleSort,56,2596,0
BubbleSort,57,2606,0
BubbleSort,58,2592,0
BubbleSort,59,2593,0
BubbleSort,60,2597,0
BubbleSort,61,2608,0
BubbleSort,62,2593,0
BubbleSort,63,2595,0
BubbleSort,64,2594,0
BubbleSort,65,2836,0
BubbleSort,66,2595,0
BubbleSort,67,2598,0
BubbleSort,68,2602,0
BubbleSort,69,2592,0
BubbleSort,70,2621,0
BubbleSort,71,2654,0
BubbleSort,72,2620,0
BubbleSort,73,2588,0
BubbleSort,74,2590,0
BubbleSort,75,2584,0
BubbleSort,76,2585,0
BubbleSort,77,2609,0
BubbleSort,78,2595,0
BubbleSort,79,2596,0
BubbleSort,80,2595,0
BubbleSort,81,2606,0
BubbleSort,82,2606,0
BubbleSort,83,2592,0
BubbleSort,84,2617,0
BubbleSort,85,2593,0
BubbleSort,86,2600,0
BubbleSort,87,2600,0
BubbleSort,88,2601,0
BubbleSort,89,2588,0
BubbleSort,90,2589,0
BubbleSort,91,2597,0
BubbleSort,92,2597,0
BubbleSort,93,2611,0
BubbleSort,94,2601,0
BubbleSort,95,2588,0
BubbleSort,96,2625,0
BubbleSort,97,2620,0
BubbleSort,98,2602,0
BubbleSort,99,2596,0
BubbleSort,100,2592,0
BubbleSort,101,2591,0
BubbleSort,102,2592,0
BubbleSort,103,2607,0
BubbleSort,104,2588,0
BubbleSort,105,2592,0
BubbleSort,106,2589,0
BubbleSort,107,2591,0
BubbleSort,108,2604,0
BubbleSort,109,2591,0
BubbleSort,110,2584,0
BubbleSort,111,2589,0
BubbleSort,112,2627,0
BubbleSort,113,2623,0
BubbleSort,114,2593,0
BubbleSort,115,2590,0
BubbleSort,116,2590,0
BubbleSort,117,2589,0
BubbleSort,118,2605,0
BubbleSort,119,2614,0
BubbleSort,120,2594,0
BubbleSort,121,2632,0
BubbleSort,122,3064,0
BubbleSort,123,3723,0
BubbleSort,124,2736,0
BubbleSort,125,2632,0
BubbleSort,126,2659,0
BubbleSort,127,2593,0
BubbleSort,128,2599,0
BubbleSort,129,2589,0
BubbleSort,130,2598,0
BubbleSort,131,2594,0
BubbleSort,132,2584,0
BubbleSort,133,2587,0
BubbleSort,134,2586,0
BubbleSort,135,2607,0
BubbleSort,136,2585,0
BubbleSort,137,2591,0
BubbleSort,138,2598,0
BubbleSort,139,2595,0
BubbleSort,140,2597,0
BubbleSort,141,2595,0
BubbleSort,142,2590,0
BubbleSort,143,2586,0
BubbleSort,144,2589,0
BubbleSort,145,2622,0
