Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
BubbleSort,0,14584,5288
BubbleSort,1,14554,0
BubbleSort,2,10413,0
BubbleSort,3,10424,0
BubbleSort,4,10472,0
BubbleSort,5,10377,0
BubbleSort,6,10406,0
BubbleSort,7,10371,0
BubbleSort,8,10375,0
BubbleSort,9,10395,0
BubbleSort,10,10414,0
BubbleSort,11,10387,0
BubbleSort,12,10386,0
BubbleSort,13,10359,0
BubbleSort,14,10376,0
BubbleSort,15,10490,0
BubbleSort,16,10412,0
BubbleSort,17,10394,0
BubbleSort,18,10396,0
BubbleSort,19,10418,0
BubbleSort,20,10377,0
BubbleSort,21,10458,0
BubbleSort,22,10452,0
BubbleSort,23,10374,0
BubbleSort,24,10407,0
BubbleSort,25,10379,0
BubbleSort,26,10369,0
BubbleSort,27,10436,0
BubbleSort,28,13210,0
BubbleSort,29,10399,0
BubbleSort,30,10384,0
BubbleSort,31,10369,0
BubbleSort,32,10392,0
BubbleSort,33,10461,0
BubbleSort,34,10391,0
BubbleSort,35,10390,0
BubbleSort,36,10392,0
BubbleSort,37,10395,0
BubbleSort,38,10392,0
BubbleSort,39,10372,0
BubbleSort,40,10370,0
BubbleSort,41,10387,0
BubbleSort,42,10410,0
BubbleSort,43,10367,0
BubbleSort,44,10585,0
BubbleSort,45,10374,0
BubbleSort,46,10382,0
BubbleSort,47,10391,0
BubbleSort,48,10386,0
BubbleSort,49,10366,0
BubbleSort,50,10394,0
BubbleSort,51,10372,0
BubbleSort,52,10376,0
BubbleSort,53,10376,0
BubbleSort,54,10377,0
BubbleSort,55,10376,0
BubbleSort,56,10381,0
BubbleSort,57,10406,0
BubbleSort,58,10384,0
BubbleSort,59,10377,0
BubbleSort,60,10390,0
BubbleSort,61,10424,0
BubbleSort,62,10378,0
BubbleSort,63,10370,0
BubbleSort,64,10372,0
BubbleSort,65,10384,0
BubbleSort,66,10371,0
BubbleSort,67,10372,0
BubbleSort,68,10379,0
BubbleSort,69,10374,0
BubbleSort,70,10392,0
BubbleSort,71,10386,0
BubbleSort,72,10367,0
BubbleSort,73,10380,0
BubbleSort,74,10379,0
BubbleSort,75,10370,0
BubbleSort,76,10393,0
BubbleSort,77,10379,0
BubbleSort,78,10365,0
BubbleSort,79,10432,0
BubbleSort,80,10369,0
BubbleSort,81,10389,0
BubbleSort,82,10388,0
BubbleSort,83,10378,0
BubbleSort,84,10389,0
BubbleSort,85,10365,0
BubbleSort,86,10374,0
BubbleSort,87,10361,0
BubbleSort,88,10357,0
BubbleSort,89,10359,0
BubbleSort,90,10395,0
BubbleSort,91,10366,0
BubbleSort,92,10359,0
BubbleSort,93,10436,0
BubbleSort,94,10410,0
BubbleSort,95,10360,0
BubbleSort,96,10388,0
BubbleSort,97,10367,0
BubbleSort,98,10384,0
BubbleSort,99,10352,0
BubbleSort,100,10369,0
BubbleSort,101,10380,0
BubbleSort,102,10364,0
BubbleSort,103,10424,0
BubbleSort,104,10403,0
BubbleSort,105,10434,0
BubbleSort,106,10397,0
BubbleSort,107,10377,0
BubbleSort,108,10431,0
BubbleSort,109,10357,0
BubbleSort,110,10368,0
BubbleSort,111,10369,0
BubbleSort,112,10367,0
BubbleSort,113,10392,0
BubbleSort,114,10372,0
BubbleSort,115,10355,0
BubbleSort,116,13095,0
BubbleSort,117,10376,0
BubbleSort,118,10375,0
BubbleSort,119,10414,0
BubbleSort,120,10370,0
BubbleSort,121,10367,0
BubbleSort,122,10371,0
BubbleSort,123,10390,0
BubbleSort,124,10398,0
BubbleSort,125,10397,0
BubbleSort,126,10415,0
BubbleSort,127,10368,0
BubbleSort,128,10378,0
BubbleSort,129,10384,0
BubbleSort,130,10357,0
BubbleSort,131,10372,0
BubbleSort,132,10377,0
BubbleSort,133,10383,0
BubbleSort,134,10364,0
BubbleSort,135,10367,0
BubbleSort,136,10402,0
BubbleSort,137,10369,0
BubbleSort,138,10368,0
BubbleSort,139,10389,0
BubbleSort,140,10376,0
BubbleSort,141,10377,0
BubbleSort,142,10373,0
BubbleSort,143,10359,0
BubbleSort,144,10395,0
BubbleSort,145,10391,0
BubbleSort,146,10375,0
BubbleSort,147,10368,0
BubbleSort,148,10387,0
BubbleSort,149,10363,0
BubbleSort,150,10354,0
BubbleSort,151,10386,0
BubbleSort,152,10437,0
BubbleSort,153,10365,0
BubbleSort,154,10381,0
BubbleSort,155,10359,0
BubbleSort,156,10354,0
BubbleSort,157,10380,0
BubbleSort,158,10371,0
BubbleSort,159,10372,0
BubbleSort,160,10355,0
BubbleSort,161,10358,0
BubbleSort,162,10405,0
BubbleSort,163,10389,0
BubbleSort,164,10386,0
BubbleSort,165,10375,0
BubbleSort,166,10373,0
BubbleSort,167,10386,0
BubbleSort,168,10389,0
BubbleSort,169,10390,0
BubbleSort,170,10381,0
BubbleSort,171,10362,0
BubbleSort,172,10359,0
BubbleSort,173,10362,0
BubbleSort,174,10374,0
BubbleSort,175,10376,0
BubbleSort,176,10404,0
BubbleSort,177,10445,0
BubbleSort,178,10388,0
BubbleSort,179,10370,0
BubbleSort,180,10498,0
BubbleSort,181,10371,0
BubbleSort,182,10365,0
BubbleSort,183,10396,0
BubbleSort,184,10381,0
BubbleSort,185,10361,0
BubbleSort,186,10380,0
BubbleSort,187,10365,0
BubbleSort,188,10403,0
BubbleSort,189,10369,0
BubbleSort,190,10388,0
BubbleSort,191,10378,0
BubbleSort,192,10366,0
BubbleSort,193,10387,0
BubbleSort,194,10402,0
BubbleSort,195,10422,0
BubbleSort,196,10385,0
BubbleSort,197,10397,0
BubbleSort,198,10379,0
BubbleSort,199,10369,0
BubbleSort,200,10399,0
BubbleSort,201,10376,0
BubbleSort,202,10416,0
BubbleSort,203,13083,0
BubbleSort,204,10412,0
BubbleSort,205,10302,0
BubbleSort,206,10331,0
BubbleSort,207,10367,0
BubbleSort,208,10375,0
BubbleSort,209,10371,0
BubbleSort,210,10383,0
BubbleSort,211,10388,0
BubbleSort,212,10362,0
BubbleSort,213,10379,0
BubbleSort,214,10404,0
BubbleSort,215,10376,0
BubbleSort,216,10350,0
BubbleSort,217,10385,0
BubbleSort,218,10367,0
BubbleSort,219,10382,0
BubbleSort,220,10385,0
BubbleSort,221,10370,0
BubbleSort,222,10377,0
BubbleSort,223,10372,0
BubbleSort,224,10365,0
BubbleSort,225,10390,0
BubbleSort,226,10363,0
BubbleSort,227,10412,0
BubbleSort,228,10349,0
BubbleSort,229,10369,0
BubbleSort,230,10369,0
BubbleSort,231,10370,0
BubbleSort,232,10387,0
BubbleSort,233,10400,0
BubbleSort,234,10435,0
BubbleSort,235,10364,0
BubbleSort,236,10363,0
BubbleSort,237,10380,0
BubbleSort,238,10361,0
BubbleSort,239,10380,0
BubbleSort,240,10390,0
BubbleSort,241,10363,0
BubbleSort,242,10375,0
BubbleSort,243,10374,0
BubbleSort,244,10385,0
BubbleSort,245,10367,0
BubbleSort,246,10433,0
BubbleSort,247,10431,0
BubbleSort,248,10384,0
BubbleSort,249,10380,0
BubbleSort,250,10375,0
BubbleSort,251,10386,0
BubbleSort,252,10350,0
BubbleSort,253,10403,0
BubbleSort,254,10382,0
BubbleSort,255,10383,0
BubbleSort,256,10380,0
BubbleSort,257,10369,0
BubbleSort,258,10361,0
BubbleSort,259,10367,0
BubbleSort,260,10375,0
BubbleSort,261,10353,0
BubbleSort,262,10396,0
BubbleSort,263,10379,0
BubbleSort,264,10358,0
BubbleSort,265,10364,0
BubbleSort,266,10376,0
BubbleSort,267,10377,0
BubbleSort,268,10365,0
BubbleSort,269,10350,0
BubbleSort,270,10371,0
BubbleSort,271,10376,0
BubbleSort,272,10372,0
BubbleSort,273,10377,0
BubbleSort,274,10365,0
BubbleSort,275,10368,0
BubbleSort,276,10396,0
BubbleSort,277,11202,0
BubbleSort,278,10589,0
BubbleSort,279,10359,0
BubbleSort,280,10415,0
BubbleSort,281,10430,0
BubbleSort,282,10426,0
BubbleSort,283,10370,0
BubbleSort,284,10445,0
BubbleSort,285,10381,0
BubbleSort,286,10375,0
BubbleSort,287,10384,0
BubbleSort,288,10367,0
BubbleSort,289,10398,0
BubbleSort,290,10394,0
