Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
QuickSort,0,24,228936
QuickSort,1,17,0
QuickSort,2,15,0
QuickSort,3,16,0
QuickSort,4,16,0
QuickSort,5,15,0
QuickSort,6,14,0
QuickSort,7,17,0
QuickSort,8,15,0
QuickSort,9,14,0
QuickSort,10,17,0
QuickSort,11,16,0
QuickSort,12,15,0
QuickSort,13,14,0
QuickSort,14,16,0
QuickSort,15,26,0
QuickSort,16,26,0
QuickSort,17,15,0
QuickSort,18,16,0
QuickSort,19,17,0
QuickSort,20,15,0
QuickSort,21,14,0
QuickSort,22,16,0
QuickSort,23,17,0
QuickSort,24,15,0
QuickSort,25,15,0
QuickSort,26,18,0
QuickSort,27,15,0
QuickSort,28,15,0
QuickSort,29,16,0
QuickSort,30,15,0
QuickSort,31,16,0
QuickSort,32,16,0
QuickSort,33,15,0
QuickSort,34,15,0
QuickSort,35,17,0
QuickSort,36,15,0
QuickSort,37,14,0
QuickSort,38,15,0
QuickSort,39,14,0
QuickSort,40,16,0
QuickSort,41,16,0
QuickSort,42,14,0
QuickSort,43,15,0
QuickSort,44,14,0
QuickSort,45,16,0
QuickSort,46,15,0
QuickSort,47,14,0
QuickSort,48,17,0
QuickSort,49,16,0
QuickSort,50,17,0
QuickSort,51,14,0
QuickSort,52,15,0
QuickSort,53,19,0
QuickSort,54,14,0
QuickSort,55,16,0
QuickSort,56,15,0
QuickSort,57,14,0
QuickSort,58,14,0
QuickSort,59,17,0
QuickSort,60,16,0
QuickSort,61,16,0
QuickSort,62,17,0
QuickSort,63,15,0
QuickSort,64,15,0
QuickSort,65,15,0
QuickSort,66,14,0
QuickSort,67,14,0
QuickSort,68,17,0
QuickSort,69,15,0
QuickSort,70,14,0
QuickSort,71,15,0
QuickSort,72,15,0
QuickSort,73,15,0
QuickSort,74,15,0
QuickSort,75,14,0
QuickSort,76,15,0
QuickSort,77,14,0
QuickSort,78,17,0
QuickSort,79,15,0
QuickSort,80,16,0
QuickSort,81,19,0
QuickSort,82,17,0
QuickSort,83,16,0
QuickSort,84,16,0
QuickSort,85,16,0
QuickSort,86,17,0
QuickSort,87,17,0
QuickSort,88,17,0
QuickSort,89,14,0
QuickSort,90,16,0
QuickSort,91,15,0
QuickSort,92,15,0
QuickSort,93,16,0
QuickSort,94,18,0
QuickSort,95,17,0
QuickSort,96,14,0
QuickSort,97,15,0
QuickSort,98,17,0
QuickSort,99,17,0
QuickSort,100,15,0
QuickSort,101,14,0
QuickSort,102,15,0
QuickSort,103,14,0
QuickSort,104,14,0
QuickSort,105,15,0
QuickSort,106,14,0
QuickSort,107,15,0
QuickSort,108,15,0
QuickSort,109,16,0
QuickSort,110,16,0
QuickSort,111,15,0
QuickSort,112,16,0
QuickSort,113,15,0
QuickSort,114,15,0
QuickSort,115,15,0
QuickSort,116,14,0
QuickSort,117,17,0
QuickSort,118,15,0
QuickSort,119,15,0
QuickSort,120,14,0
QuickSort,121,16,0
QuickSort,122,14,0
QuickSort,123,16,0
QuickSort,124,18,0
QuickSort,125,14,0
QuickSort,126,14,0
QuickSort,127,14,0
QuickSort,128,17,0
QuickSort,129,16,0
QuickSort,130,16,0
QuickSort,131,14,0
QuickSort,132,16,0
QuickSort,133,17,0
QuickSort,134,15,0
QuickSort,135,17,0
QuickSort,136,14,0
QuickSort,137,16,0
QuickSort,138,15,0
QuickSort,139,17,0
QuickSort,140,16,0
QuickSort,141,15,0
QuickSort,142,14,0
QuickSort,143,15,0
QuickSort,144,14,0
QuickSort,145,14,0
QuickSort,146,15,0
QuickSort,147,15,0
QuickSort,148,17,0
QuickSort,149,14,0
QuickSort,150,15,0
QuickSort,151,14,0
QuickSort,152,15,0
QuickSort,153,15,0
QuickSort,154,15,0
QuickSort,155,14,0
QuickSort,156,15,0
QuickSort,157,17,0
QuickSort,158,15,0
QuickSort,159,16,0
QuickSort,160,14,0
QuickSort,161,14,0
QuickSort,162,15,0
QuickSort,163,15,0
QuickSort,164,14,0
QuickSort,165,14,0
QuickSort,166,14,0
QuickSort,167,14,0
QuickSort,168,17,0
QuickSort,169,17,0
QuickSort,170,14,0
QuickSort,171,17,0
QuickSort,172,15,0
QuickSort,173,15,0
QuickSort,174,17,0
QuickSort,175,15,0
QuickSort,176,16,0
QuickSort,177,22,0
QuickSort,178,16,0
QuickSort,179,15,0
QuickSort,180,17,0
QuickSort,181,15,0
QuickSort,182,15,0
QuickSort,183,20,0
QuickSort,184,15,0
QuickSort,185,16,0
QuickSort,186,14,0
QuickSort,187,14,0
QuickSort,188,14,0
QuickSort,189,14,0
QuickSort,190,14,0
QuickSort,191,15,0
QuickSort,192,14,0
QuickSort,193,14,0
QuickSort,194,14,0
QuickSort,195,17,0
QuickSort,196,15,0
QuickSort,197,15,0
QuickSort,198,14,0
QuickSort,199,15,0
QuickSort,200,16,0
QuickSort,201,15,0
QuickSort,202,15,0
QuickSort,203,15,0
QuickSort,204,17,0
QuickSort,205,15,0
QuickSort,206,14,0
QuickSort,207,15,0
QuickSort,208,15,0
QuickSort,209,14,0
QuickSort,210,14,0
QuickSort,211,22,0
QuickSort,212,14,0
QuickSort,213,20,0
QuickSort,214,15,0
QuickSort,215,17,0
QuickSort,216,16,0
QuickSort,217,14,0
QuickSort,218,14,0
QuickSort,219,16,0
QuickSort,220,14,0
QuickSort,221,14,0
QuickSort,222,15,0
QuickSort,223,15,0
QuickSort,224,14,0
QuickSort,225,18,0
QuickSort,226,16,0
QuickSort,227,17,0
QuickSort,228,15,0
QuickSort,229,15,0
QuickSort,230,15,0
QuickSort,231,15,0
QuickSort,232,15,0
QuickSort,233,15,0
QuickSort,234,15,0
QuickSort,235,14,0
QuickSort,236,14,0
QuickSort,237,17,0
QuickSort,238,17,0
QuickSort,239,16,0
QuickSort,240,14,0
QuickSort,241,15,0
QuickSort,242,14,0
QuickSort,243,15,0
QuickSort,244,16,0
QuickSort,245,15,0
QuickSort,246,15,0
QuickSort,247,15,0
QuickSort,248,16,0
QuickSort,249,17,0
QuickSort,250,16,0
QuickSort,251,16,0
QuickSort,252,14,0
QuickSort,253,17,0
QuickSort,254,15,0
QuickSort,255,14,0
QuickSort,256,14,0
QuickSort,257,16,0
QuickSort,258,16,0
QuickSort,259,16,0
QuickSort,260,16,0
QuickSort,261,16,0
QuickSort,262,15,0
QuickSort,263,15,0
QuickSort,264,15,0
QuickSort,265,15,0
QuickSort,266,15,0
QuickSort,267,14,0
QuickSort,268,14,0
QuickSort,269,17,0
QuickSort,270,16,0
QuickSort,271,15,0
QuickSort,272,16,0
QuickSort,273,17,0
QuickSort,274,15,0
QuickSort,275,16,0
QuickSort,276,16,0
QuickSort,277,17,0
QuickSort,278,15,0
QuickSort,279,15,0
QuickSort,280,15,0
QuickSort,281,16,0
QuickSort,282,18,0
QuickSort,283,15,0
QuickSort,284,14,0
QuickSort,285,15,0
QuickSort,286,16,0
QuickSort,287,16,0
QuickSort,288,16,0
QuickSort,289,16,0
QuickSort,290,15,0
QuickSort,291,15,0
QuickSort,292,15,0
QuickSort,293,17,0
QuickSort,294,17,0
QuickSort,295,15,0
QuickSort,296,14,0
QuickSort,297,15,0
QuickSort,298,16,0
QuickSort,299,17,0
QuickSort,300,17,0
QuickSort,301,14,0
QuickSort,302,15,0
QuickSort,303,17,0
QuickSort,304,14,0
QuickSort,305,14,0
QuickSort,306,14,0
QuickSort,307,14,0
QuickSort,308,14,0
QuickSort,309,17,0
QuickSort,310,17,0
QuickSort,311,15,0
QuickSort,312,16,0
QuickSort,313,15,0
QuickSort,314,15,0
QuickSort,315,15,0
QuickSort,316,15,0
QuickSort,317,14,0
QuickSort,318,15,0
QuickSort,319,16,0
QuickSort,320,16,0
QuickSort,321,15,0
QuickSort,322,16,0
QuickSort,323,15,0
QuickSort,324,15,0
QuickSort,325,17,0
QuickSort,326,17,0
QuickSort,327,14,0
QuickSort,328,15,0
QuickSort,329,15,0
QuickSort,330,15,0
