Algorithm,Iteration,Execution Time (ms),Memory Usage (bytes)
MergeSort,0,10,4725192
MergeSort,1,8,862704
MergeSort,2,6,1538328
MergeSort,3,4,910248
MergeSort,4,5,2109976
MergeSort,5,5,886136
MergeSort,6,4,878976
MergeSort,7,4,889680
MergeSort,8,5,2099200
MergeSort,9,4,893224
MergeSort,10,4,882432
MergeSort,11,4,900552
MergeSort,12,5,2099200
MergeSort,13,5,889440
MergeSort,14,4,886568
MergeSort,15,5,901120
MergeSort,16,6,2100000
MergeSort,17,5,889440
MergeSort,18,5,886568
MergeSort,19,5,901120
MergeSort,20,5,2100000
MergeSort,21,5,889440
MergeSort,22,5,886568
MergeSort,23,4,901120
MergeSort,24,6,2100000
MergeSort,25,5,889440
MergeSort,26,5,886568
MergeSort,27,4,901120
MergeSort,28,5,2100000
MergeSort,29,5,889440
MergeSort,30,5,886568
MergeSort,31,5,901120
MergeSort,32,5,2100000
MergeSort,33,5,889440
MergeSort,34,5,886568
MergeSort,35,5,901120
MergeSort,36,5,2100000
MergeSort,37,5,889440
MergeSort,38,4,886568
MergeSort,39,4,901120
MergeSort,40,6,2100000
MergeSort,41,5,889440
MergeSort,42,5,886568
MergeSort,43,5,901120
MergeSort,44,5,2100000
MergeSort,45,5,889440
MergeSort,46,4,886568
MergeSort,47,4,901120
MergeSort,48,6,2100000
MergeSort,49,5,889440
MergeSort,50,4,886568
MergeSort,51,4,901120
MergeSort,52,6,2100000
MergeSort,53,5,889440
MergeSort,54,5,886568
MergeSort,55,4,901120
MergeSort,56,6,2100000
MergeSort,57,5,889440
MergeSort,58,5,886568
MergeSort,59,4,901120
MergeSort,60,5,2100000
MergeSort,61,5,889440
MergeSort,62,4,886568
MergeSort,63,5,901120
MergeSort,64,6,2100000
MergeSort,65,7,889440
MergeSort,66,5,886568
MergeSort,67,5,901120
MergeSort,68,5,2100000
MergeSort,69,5,889440
MergeSort,70,5,886568
MergeSort,71,4,901120
MergeSort,72,6,2100000
MergeSort,73,5,889440
MergeSort,74,4,886568
MergeSort,75,5,901120
MergeSort,76,5,2100000
MergeSort,77,5,889440
MergeSort,78,4,886568
MergeSort,79,5,901120
MergeSort,80,6,2100000
MergeSort,81,5,889440
MergeSort,82,4,886568
MergeSort,83,5,901120
MergeSort,84,5,2100000
MergeSort,85,5,889440
MergeSort,86,4,886568
MergeSort,87,5,901120
MergeSort,88,6,2100000
MergeSort,89,5,889440
MergeSort,90,5,886568
MergeSort,91,5,901120
MergeSort,92,5,2100000
MergeSort,93,5,889440
MergeSort,94,5,886568
MergeSort,95,5,901120
MergeSort,96,6,2100000
MergeSort,97,5,889440
MergeSort,98,5,886568
MergeSort,99,5,901120
MergeSort,100,5,2100000
MergeSort,101,5,889440
MergeSort,102,5,886568
MergeSort,103,4,901120
MergeSort,104,6,2100000
MergeSort,105,4,889440
MergeSort,106,5,886568
MergeSort,107,5,901120
MergeSort,108,6,2100000
MergeSort,109,4,889440
MergeSort,110,5,886568
MergeSort,111,4,901120
MergeSort,112,6,2100000
MergeSort,113,5,889440
MergeSort,114,4,886568
MergeSort,115,6,901120
MergeSort,116,5,2100000
MergeSort,117,5,889440
MergeSort,118,5,886568
MergeSort,119,4,901120
MergeSort,120,6,2100000
MergeSort,121,5,889440
MergeSort,122,5,886568
MergeSort,123,5,901120
MergeSort,124,5,2100000
MergeSort,125,4,889440
MergeSort,126,6,886568
MergeSort,127,4,901120
